"","Overall","1","2","3","p","test","Missing"
"n","       866","       224","       322","       320","","","   "
"patient_site_uid (mean (SD))","3674669.94 (2387277.85)","3377096.16 (2437005.81)","3813480.12 (2366672.65)","3743293.85 (2362062.30)"," 0.089","","0.0"
"patient_age (mean (SD))","     68.81 (18.81)","     73.87 (12.42)","     68.30 (21.55)","     65.78 (18.89)","<0.001","","0.0"
"hemoglobin_min (mean (SD))","    116.08 (19.89)","    117.00 (19.71)","    119.55 (19.55)","    111.96 (19.67)","<0.001","","0.0"
"plt_max (mean (SD))","    244.38 (107.23)","    225.88 (107.78)","    243.81 (101.02)","    257.90 (111.20)"," 0.003","","0.0"
"wbc_mean (mean (SD))","      7.68 (8.25)","      8.19 (13.81)","      6.57 (3.16)","      8.43 (6.25)"," 0.009","","0.0"
"neutrophil_mean (mean (SD))","      5.47 (3.45)","      5.53 (3.18)","      4.56 (2.72)","      6.33 (4.02)","<0.001","","0.0"
"lymph_min (mean (SD))","      0.99 (0.96)","      0.85 (0.57)","      1.19 (1.03)","      0.89 (1.07)","<0.001","","0.0"
"mono_max (mean (SD))","      0.71 (0.50)","      0.70 (0.42)","      0.68 (0.38)","      0.74 (0.64)"," 0.255","","0.0"
"baso_min (mean (SD))","      0.01 (0.01)","      0.01 (0.02)","      0.01 (0.02)","      0.01 (0.01)"," 0.003","","0.0"
"eos_min (mean (SD))","      0.04 (0.10)","      0.04 (0.13)","      0.05 (0.11)","      0.03 (0.07)"," 0.006","","0.0"
"sodium_mean (mean (SD))","    139.24 (4.42)","    138.74 (4.49)","    139.15 (4.09)","    139.66 (4.66)"," 0.053","","0.0"
"potassium_mean (mean (SD))","      3.95 (0.43)","      4.02 (0.45)","      3.94 (0.41)","      3.92 (0.44)"," 0.013","","0.0"
"creatinine_mean (mean (SD))","    108.86 (127.72)","    147.63 (175.82)","     85.73 (84.19)","    104.98 (117.82)","<0.001","","0.0"
"fio2_mean (mean (SD))","     34.44 (20.87)","     35.14 (20.89)","     27.31 (12.81)","     41.12 (24.78)","<0.001","","0.0"
"so2_min (mean (SD))","     89.96 (7.74)","     88.20 (7.98)","     92.54 (6.10)","     88.59 (8.36)","<0.001","","0.0"
"temp_mean (mean (SD))","     36.86 (0.57)","     36.90 (0.58)","     36.72 (0.56)","     36.98 (0.54)","<0.001","","0.0"
"sbp_mean (mean (SD))","    129.45 (16.87)","    132.44 (16.19)","    128.20 (16.60)","    128.63 (17.40)"," 0.008","","0.0"
"dbp_mean (mean (SD))","     71.91 (8.91)","     71.21 (8.77)","     72.13 (8.83)","     72.18 (9.10)"," 0.393","","0.0"
"rr_mean (mean (SD))","     20.51 (2.69)","     20.65 (2.26)","     19.80 (2.43)","     21.14 (3.02)","<0.001","","0.0"
"anti_bacterial_agents = 1 (%)","       535 (61.8) ","       179 (79.9) ","        91 (28.3) ","       265 (82.8) ","<0.001","","0.0"
"bicarbonate = 1 (%)","        29 ( 3.3) ","         9 ( 4.0) ","         7 ( 2.2) ","        13 ( 4.1) "," 0.335","","0.0"
"neuromuscular_blocking_agents = 1 (%)","        30 ( 3.5) ","         2 ( 0.9) ","         0 ( 0.0) ","        28 ( 8.8) ","<0.001","","0.0"
"anticoagulants = 1 (%)","       682 (78.8) ","       191 (85.3) ","       225 (69.9) ","       266 (83.1) ","<0.001","","0.0"
"factor_xa_inhibitors = 1 (%)","        93 (10.7) ","        28 (12.5) ","        35 (10.9) ","        30 ( 9.4) "," 0.509","","0.0"
"anticholesteremic_agents = 1 (%)","       266 (30.7) ","       169 (75.4) ","        35 (10.9) ","        62 (19.4) ","<0.001","","0.0"
"male = 1 (%)","       455 (52.5) ","       173 (77.2) ","       132 (41.0) ","       150 (46.9) ","<0.001","","0.0"
"bronchodilator_agents = 1 (%)","       256 (29.6) ","        76 (33.9) ","        70 (21.7) ","       110 (34.4) "," 0.001","","0.0"
"antihypertensive_agents = 1 (%)","       370 (42.7) ","       166 (74.1) ","        99 (30.7) ","       105 (32.8) ","<0.001","","0.0"
"antipsychotic_agents = 1 (%)","       236 (27.3) ","        52 (23.2) ","        94 (29.2) ","        90 (28.1) "," 0.276","","0.0"
"antidepressive_agents = 1 (%)","       126 (14.5) ","        29 (12.9) ","        43 (13.4) ","        54 (16.9) "," 0.329","","0.0"
"analgesics_opioid = 1 (%)","       356 (41.1) ","        59 (26.3) ","        31 ( 9.6) ","       266 (83.1) ","<0.001","","0.0"
"diuretics = 1 (%)","       203 (23.4) ","        84 (37.5) ","        40 (12.4) ","        79 (24.7) ","<0.001","","0.0"
"glucocorticoids = 1 (%)","       253 (29.2) ","        87 (38.8) ","        53 (16.5) ","       113 (35.3) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","       257 (29.7) ","       148 (66.1) ","        35 (10.9) ","        74 (23.1) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       222 (25.6) ","       138 (61.6) ","        38 (11.8) ","        46 (14.4) ","<0.001","","0.0"
"sedation = 1 (%)","        63 ( 7.3) ","        14 ( 6.2) ","         1 ( 0.3) ","        48 (15.0) ","<0.001","","0.0"
"benzodiazepines = 1 (%)","       387 (44.7) ","        77 (34.4) ","        59 (18.3) ","       251 (78.4) ","<0.001","","0.0"
"vasopressors = 1 (%)","       119 (13.7) ","        32 (14.3) ","        20 ( 6.2) ","        67 (20.9) ","<0.001","","0.0"
"mv = 1 (%)","        66 ( 7.6) ","        22 ( 9.8) ","         6 ( 1.9) ","        38 (11.9) ","<0.001","","0.0"
"levelofcare = 1 (%)","       785 (90.6) ","       214 (95.5) ","       274 (85.1) ","       297 (92.8) ","<0.001","","0.0"
"wave = 1 (%)","       444 (51.3) ","       122 (54.5) ","       156 (48.4) ","       166 (51.9) "," 0.370","","0.0"
"icu = 1 (%)","       150 (17.3) ","        50 (22.3) ","        21 ( 6.5) ","        79 (24.7) ","<0.001","","0.0"
"death = 1 (%)","       115 (13.3) ","        33 (14.7) ","        17 ( 5.3) ","        65 (20.3) ","<0.001","","0.0"
"cluster (mean (SD))","      2.11 (0.79)","      1.00 (0.00)","      2.00 (0.00)","      3.00 (0.00)","<0.001","","0.0"
