"","Overall","1","2","p","test","Missing"
"n","       444","       291","       153","","","   "
"patient_site_uid (mean (SD))","3731179.17 (2364078.95)","3777956.58 (2349354.95)","3642210.38 (2397058.72)"," 0.566","","0.0"
"patient_age (mean (SD))","     67.66 (19.24)","     63.77 (20.77)","     75.07 (13.09)","<0.001","","0.0"
"hemoglobin_min (mean (SD))","    116.55 (20.14)","    115.73 (20.55)","    118.12 (19.30)"," 0.235","","0.0"
"plt_max (mean (SD))","    248.76 (100.79)","    242.90 (100.20)","    259.92 (101.28)"," 0.091","","0.0"
"wbc_mean (mean (SD))","      7.91 (10.12)","      6.89 (3.40)","      9.86 (16.46)"," 0.003","","0.0"
"neutrophil_mean (mean (SD))","      5.63 (3.41)","      4.98 (3.29)","      6.87 (3.31)","<0.001","","0.0"
"lymph_min (mean (SD))","      0.96 (0.90)","      1.06 (1.00)","      0.76 (0.65)"," 0.001","","0.0"
"mono_max (mean (SD))","      0.70 (0.37)","      0.69 (0.34)","      0.73 (0.41)"," 0.322","","0.0"
"baso_min (%)","       ","       ","       "," 0.300","","0.0"
"   0","       355 ( 80.0) ","       225 ( 77.3) ","       130 ( 85.0) ","","","   "
"   0.01","        55 ( 12.4) ","        37 ( 12.7) ","        18 ( 11.8) ","","","   "
"   0.02","        14 (  3.2) ","        12 (  4.1) ","         2 (  1.3) ","","","   "
"   0.03","        12 (  2.7) ","        10 (  3.4) ","         2 (  1.3) ","","","   "
"   0.04","         2 (  0.5) ","         1 (  0.3) ","         1 (  0.7) ","","","   "
"   0.07","         1 (  0.2) ","         1 (  0.3) ","         0 (  0.0) ","","","   "
"   0.1","         4 (  0.9) ","         4 (  1.4) ","         0 (  0.0) ","","","   "
"   0.15","         1 (  0.2) ","         1 (  0.3) ","         0 (  0.0) ","","","   "
"eos_min (mean (SD))","      0.03 (0.09)","      0.04 (0.10)","      0.02 (0.07)"," 0.011","","0.0"
"sodium_mean (mean (SD))","    139.48 (4.38)","    139.34 (4.26)","    139.75 (4.59)"," 0.347","","0.0"
"potassium_mean (mean (SD))","      3.96 (0.43)","      3.90 (0.40)","      4.08 (0.46)","<0.001","","0.0"
