"","Overall","1","2","p","test","Missing"
"n","       147","        85","        62","","","   "
"patient_site_uid (mean (SD))","4049260.29 (2263359.47)","4167802.65 (2229878.40)","3886742.55 (2316789.03)"," 0.459","","0.0"
"patient_age (mean (SD))","     61.73 (15.13)","     62.21 (14.56)","     61.06 (15.96)"," 0.651","","0.0"
"hemoglobin_min (mean (SD))","    112.61 (21.40)","    106.81 (20.83)","    120.55 (19.69)","<0.001","","0.0"
"plt_max (mean (SD))","    244.25 (108.57)","    245.74 (115.30)","    242.21 (99.47)"," 0.846","","0.0"
"wbc_mean (mean (SD))","     12.40 (40.93)","     15.35 (53.66)","      8.35 (3.98)"," 0.308","","0.0"
"neutrophil_mean (mean (SD))","      7.66 (4.90)","      8.30 (5.36)","      6.80 (4.06)"," 0.067","","0.0"
"lymph_min (mean (SD))","      0.78 (0.57)","      0.77 (0.61)","      0.80 (0.51)"," 0.738","","0.0"
"mono_max (mean (SD))","      0.60 (0.38)","      0.65 (0.46)","      0.53 (0.22)"," 0.081","","0.0"
"baso_min (%)","       ","        ","        "," 0.327","","0.0"
"   0","        94 (63.9) ","        51 (60.0) ","        43 (69.4) ","","","   "
"   0.01","        39 (26.5) ","        24 (28.2) ","        15 (24.2) ","","","   "
"   0.02","        10 ( 6.8) ","         8 ( 9.4) ","         2 ( 3.2) ","","","   "
"   0.03","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.6) ","","","   "
"   0.04","         1 ( 0.7) ","         0 ( 0.0) ","         1 ( 1.6) ","","","   "
"   0.06","         1 ( 0.7) ","         1 ( 1.2) ","         0 ( 0.0) ","","","   "
"   0.1","         1 ( 0.7) ","         1 ( 1.2) ","         0 ( 0.0) ","","","   "
"eos_min (mean (SD))","      0.03 (0.07)","      0.03 (0.08)","      0.02 (0.06)"," 0.300","","0.0"
"sodium_mean (mean (SD))","    138.59 (4.12)","    139.02 (3.64)","    138.00 (4.68)"," 0.141","","0.0"
"potassium_mean (mean (SD))","      4.00 (0.50)","      4.02 (0.50)","      3.97 (0.49)"," 0.570","","0.0"
"chloride_mean (mean (SD))","    104.06 (5.07)","    104.76 (4.39)","    103.10 (5.77)"," 0.049","","0.0"
"creatinine_mean (mean (SD))","    163.16 (228.51)","    173.86 (199.34)","    148.50 (264.36)"," 0.508","","0.0"
"bun_mean (mean (SD))","     12.76 (16.78)","     12.29 (12.24)","     13.41 (21.61)"," 0.689","","0.0"
"magnesium_mean (mean (SD))","      0.85 (0.12)","      0.85 (0.12)","      0.86 (0.13)"," 0.462","","0.0"
"phosphate_mean (mean (SD))","      1.12 (0.37)","      1.17 (0.39)","      1.05 (0.33)"," 0.064","","0.0"
"glucose_mean (mean (SD))","      8.52 (2.78)","      8.65 (2.75)","      8.33 (2.83)"," 0.501","","0.0"
"ptt_max (mean (SD))","     35.52 (22.34)","     37.32 (22.39)","     33.06 (22.21)"," 0.256","","0.0"
"alt_max (mean (SD))","     71.76 (174.04)","     88.16 (224.84)","     49.27 (44.59)"," 0.182","","0.0"
"ast_max (mean (SD))","    155.84 (660.66)","    159.56 (640.29)","    150.73 (692.87)"," 0.936","","0.0"
"bili_tot_max (mean (SD))","     12.73 (11.10)","     13.38 (13.02)","     11.85 (7.75)"," 0.414","","0.0"
"ck_max (mean (SD))","    595.24 (1200.46)","    726.65 (1490.71)","    415.10 (576.22)"," 0.121","","0.0"
"albumin_mean (mean (SD))","     31.42 (4.07)","     30.48 (3.99)","     32.72 (3.85)"," 0.001","","0.0"
"lactate_max (mean (SD))","      1.96 (2.00)","      2.04 (2.29)","      1.85 (1.53)"," 0.575","","0.0"
"svo2sat_mean (mean (SD))","     65.55 (18.52)","     66.65 (17.61)","     64.04 (19.74)"," 0.401","","0.0"
"paco2_mean (mean (SD))","     43.87 (10.03)","     47.19 (9.68)","     39.32 (8.69)","<0.001","","0.0"
"fio2_mean (mean (SD))","     61.14 (22.79)","     61.30 (23.63)","     60.92 (21.79)"," 0.921","","0.0"
"so2_min (mean (SD))","     86.71 (11.03)","     86.84 (9.70)","     86.55 (12.72)"," 0.877","","0.0"
"temp_mean (mean (SD))","     37.08 (0.58)","     37.05 (0.64)","     37.13 (0.50)"," 0.455","","0.0"
"anti_bacterial_agents = 1 (%)","       133 (90.5) ","        81 (95.3) ","        52 (83.9) "," 0.041","","0.0"
"bicarbonate = 1 (%)","        17 (11.6) ","        12 (14.1) ","         5 ( 8.1) "," 0.383","","0.0"
"neuromuscular_blocking_agents = 1 (%)","        24 (16.3) ","        23 (27.1) ","         1 ( 1.6) ","<0.001","","0.0"
"anticoagulants = 1 (%)","       135 (91.8) ","        80 (94.1) ","        55 (88.7) "," 0.380","","0.0"
"factor_xa_inhibitors = 1 (%)","         4 ( 2.7) ","         4 ( 4.7) ","         0 ( 0.0) "," 0.223","","0.0"
"anticholesteremic_agents = 1 (%)","        43 (29.3) ","        19 (22.4) ","        24 (38.7) "," 0.049","","0.0"
"male = 1 (%)","        98 (66.7) ","        51 (60.0) ","        47 (75.8) "," 0.067","","0.0"
"bronchodilator_agents = 1 (%)","        26 (17.7) ","        16 (18.8) ","        10 (16.1) "," 0.838","","0.0"
"antihypertensive_agents = 1 (%)","        46 (31.3) ","        24 (28.2) ","        22 (35.5) "," 0.450","","0.0"
"antipsychotic_agents = 1 (%)","        23 (15.6) ","        11 (12.9) ","        12 (19.4) "," 0.408","","0.0"
"antidepressive_agents = 1 (%)","         7 ( 4.8) ","         6 ( 7.1) ","         1 ( 1.6) "," 0.255","","0.0"
"analgesics_opioid = 1 (%)","        90 (61.2) ","        76 (89.4) ","        14 (22.6) ","<0.001","","0.0"
"diuretics = 1 (%)","        35 (23.8) ","        18 (21.2) ","        17 (27.4) "," 0.496","","0.0"
"glucocorticoids = 1 (%)","        66 (44.9) ","        24 (28.2) ","        42 (67.7) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","        64 (43.5) ","        38 (44.7) ","        26 (41.9) "," 0.868","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","        38 (25.9) ","        17 (20.0) ","        21 (33.9) "," 0.088","","0.0"
"sedation = 1 (%)","        63 (42.9) ","        60 (70.6) ","         3 ( 4.8) ","<0.001","","0.0"
"benzodiazepines = 1 (%)","        55 (37.4) ","        41 (48.2) ","        14 (22.6) "," 0.003","","0.0"
"vasopressors = 1 (%)","        82 (55.8) ","        74 (87.1) ","         8 (12.9) ","<0.001","","0.0"
"mv = 1 (%)","        43 (29.3) ","        30 (35.3) ","        13 (21.0) "," 0.089","","0.0"
"wave = 1 (%)","        72 (49.0) ","        29 (34.1) ","        43 (69.4) ","<0.001","","0.0"
"death = 1 (%)","        29 (19.7) ","        23 (27.1) ","         6 ( 9.7) "," 0.016","","0.0"
"cluster (mean (SD))","      1.42 (0.50)","      1.00 (0.00)","      2.00 (0.00)","<0.001","","0.0"
