"","Overall","1","2","p","test","Missing"
"n","       866","       276","       590","","","   "
"patient_site_uid (mean (SD))","3674669.94 (2387277.85)","3569006.25 (2418408.67)","3724099.06 (2373023.98)"," 0.373","","0.0"
"patient_age (mean (SD))","     68.81 (18.81)","     73.70 (14.18)","     66.52 (20.23)","<0.001","","0.0"
"hemoglobin_min (mean (SD))","    116.08 (19.89)","    113.49 (18.51)","    117.29 (20.41)"," 0.009","","0.0"
"plt_max (mean (SD))","    244.38 (107.23)","    254.11 (108.08)","    239.83 (106.62)"," 0.068","","0.0"
"wbc_mean (mean (SD))","      7.68 (8.25)","      8.14 (4.57)","      7.46 (9.49)"," 0.264","","0.0"
"neutrophil_mean (mean (SD))","      5.47 (3.45)","      6.13 (3.90)","      5.16 (3.17)","<0.001","","0.0"
"lymph_min (mean (SD))","      0.99 (0.96)","      1.01 (1.38)","      0.98 (0.68)"," 0.615","","0.0"
"mono_max (mean (SD))","      0.71 (0.50)","      0.74 (0.47)","      0.69 (0.51)"," 0.157","","0.0"
"baso_min (mean (SD))","      0.01 (0.01)","      0.01 (0.02)","      0.01 (0.01)"," 0.589","","0.0"
"eos_min (mean (SD))","      0.04 (0.10)","      0.04 (0.13)","      0.04 (0.09)"," 0.935","","0.0"
"sodium_mean (mean (SD))","    139.24 (4.42)","    139.56 (4.60)","    139.09 (4.33)"," 0.147","","0.0"
"potassium_mean (mean (SD))","      3.95 (0.43)","      4.00 (0.44)","      3.93 (0.43)"," 0.034","","0.0"
"creatinine_mean (mean (SD))","    108.86 (127.72)","    125.08 (137.26)","    101.26 (122.39)"," 0.010","","0.0"
"fio2_mean (mean (SD))","     34.44 (20.87)","     39.89 (24.49)","     31.88 (18.41)","<0.001","","0.0"
"so2_min (mean (SD))","     89.96 (7.74)","     88.07 (8.47)","     90.84 (7.22)","<0.001","","0.0"
"temp_mean (mean (SD))","     36.86 (0.57)","     36.85 (0.52)","     36.87 (0.59)"," 0.760","","0.0"
"sbp_mean (mean (SD))","    129.45 (16.87)","    134.41 (16.48)","    127.13 (16.56)","<0.001","","0.0"
"dbp_mean (mean (SD))","     71.91 (8.91)","     71.61 (8.09)","     72.05 (9.27)"," 0.497","","0.0"
"rr_mean (mean (SD))","     20.51 (2.69)","     20.97 (2.84)","     20.30 (2.58)"," 0.001","","0.0"
"anticholesteremic_agents = 1 (%)","       266 (30.7) ","       186 (67.4) ","        80 (13.6) ","<0.001","","0.0"
"male = 1 (%)","       455 (52.5) ","       102 (37.0) ","       353 (59.8) ","<0.001","","0.0"
"bronchodilator_agents = 1 (%)","       256 (29.6) ","       102 (37.0) ","       154 (26.1) "," 0.001","","0.0"
"antihypertensive_agents = 1 (%)","       370 (42.7) ","       222 (80.4) ","       148 (25.1) ","<0.001","","0.0"
"antipsychotic_agents = 1 (%)","       236 (27.3) ","        62 (22.5) ","       174 (29.5) "," 0.037","","0.0"
"analgesics_opioid = 1 (%)","       356 (41.1) ","       172 (62.3) ","       184 (31.2) ","<0.001","","0.0"
"diuretics = 1 (%)","       203 (23.4) ","       117 (42.4) ","        86 (14.6) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","       257 (29.7) ","       190 (68.8) ","        67 (11.4) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       222 (25.6) ","       107 (38.8) ","       115 (19.5) ","<0.001","","0.0"
"sedation = 1 (%)","        63 ( 7.3) ","        36 (13.0) ","        27 ( 4.6) ","<0.001","","0.0"
"vasopressors = 1 (%)","       119 (13.7) ","        59 (21.4) ","        60 (10.2) ","<0.001","","0.0"
"mv = 1 (%)","        66 ( 7.6) ","        35 (12.7) ","        31 ( 5.3) ","<0.001","","0.0"
"levelofcare = 1 (%)","       785 (90.6) ","       253 (91.7) ","       532 (90.2) "," 0.562","","0.0"
"wave = 1 (%)","       444 (51.3) ","       155 (56.2) ","       289 (49.0) "," 0.058","","0.0"
"icu = 1 (%)","       150 (17.3) ","        67 (24.3) ","        83 (14.1) ","<0.001","","0.0"
"death = 1 (%)","       115 (13.3) ","        41 (14.9) ","        74 (12.5) "," 0.408","","0.0"
"cluster (mean (SD))","      1.68 (0.47)","      1.00 (0.00)","      2.00 (0.00)","<0.001","","0.0"
