Variables,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
fio2_mean,5.65844395139718,0.06260130748439657,0.9191469668343355,0.2694579601660259,0.3360050342548472
fio2_max,5.5328434304435,0.10427931782550841,0.5217934954589596,0.10276603010259662,0.48672258504758115
neutrophil_mean,4.117806058750935,3.7691279120544707,1.5140154454391268,0.006052665192809004,0.37682473571178626
neutrophil_max,3.9094172178623614,2.4872066581206784,1.3529437293149962,0.08758836258338902,0.30390261967251175
so2_min,3.250625947694721,0.17576124450011638,0.013877271069046782,1.6028478304766915,0.07002080469480364
neutrophil_min,3.215508413882272,3.9603088921916294,1.2354441390458955,0.24645297465260546,0.2793584824852901
rr_mean,3.1947218448108257,0.24972141538189707,0.8497062974765389,0.9262289802337396,0.3038651518222485
anti_bacterial_agents,2.858012185880839,0.24622440446996408,0.21457452374366653,7.236198758047332e-4,1.1928531753726899
rr_max,2.8088597131414805,0.3339952220654895,0.8144554246949631,0.6407716031848492,0.8038979102022167
fio2_min,2.726745556974818,0.022250500224177436,0.556976623205776,0.23519689690547144,0.3415742663331781
analgesics_opioid,2.377179208500263,0.0036797832269536146,0.7985325359690805,0.5421587846329223,0.12152372523356048
potassium_max,2.2314042945024046,0.06324011565099182,4.533487886219919,0.09304452196308584,0.7487163771396534
anti_ulcer_agents,1.824623273811321,0.04355253714909983,0.9032830190937425,0.010155732065180072,1.119666262448303
wbc_min,1.7131949481557156,7.156659958222772,0.9948540815018978,0.3463730772279183,0.6303267947037682
creatinine_max,1.7068888675285023,0.06948234858735415,8.779508278808867,0.038614082842484805,1.1702665900186846
hemoglobin_min,1.5904544408661447,0.0672336245064104,1.707025727279101,7.960541348457147,1.7624335552391486
creatinine_mean,1.4321263614275828,0.05332022474833883,9.575515788227843,0.03822648660635033,1.2121332191117313
bicarbonate,1.3894687657796418,0.06505081524406264,0.9732303453556685,0.6326217105984482,0.10720504180748408
wbc_mean,1.2288238830726066,1.8387952384325352,0.6180207067147142,0.01595261793539683,0.7406812046777655
hemoglobin_mean,1.1306568594741162,0.11570903361072446,1.989228848094009,7.505077875473227,2.395395003705147
so2_mean,1.0699251650670714,0.00183456233236479,0.02461791507291095,1.8870579336874371,0.03409679975535995
sodium_max,0.9519219215814738,0.060465413504527624,0.8112618591142752,0.0058222511795447225,6.2609989166647715
creatinine_min,0.8729614683024715,0.019043568899249304,8.925298756427432,0.00929695801261639,1.179176278306647
death,0.8606418799419359,0.0064305150963072915,0.02566987441305092,0.02947606000285207,2.9909067336543284e-5
rr_min,0.8380010748717254,0.010088322352034246,0.25248786173147203,0.5408704743943474,7.667749055383733e-4
dbp_min,0.7510269560875209,0.16598585959175452,0.7368704325354584,2.933586258529363,0.043439603278706766
lymph_min,0.6738544369282298,4.070799488066844,0.03349503603534692,0.2004323210404696,0.6612789395081027
benzodiazepines,0.6536914907731044,0.001047872329137032,0.05149760881853164,0.3524483543602527,0.2991636103054859
neuromuscular_blocking_agents,0.638162361464228,0.0014868877948997039,0.14443085433540004,0.13413731555252253,0.030348447400345195
anticholesteremic_agents,0.6233357661585798,0.034091603257411174,1.3894086345978343,1.7571079864201833,0.06806728487115245
anticoagulants,0.6086672924661941,0.09016580181814601,0.326573186781651,0.04682027125432706,0.05660133755237724
temp_max,0.5835995461764382,0.959461260548887,0.3745300227507402,0.3888582424945127,2.3043728034690694
hemoglobin_max,0.5314156523927652,0.18860181508128054,2.0370604192434136,6.024025383669591,2.7776058710791216
potassium_mean,0.501393105818843,0.16759429169584839,5.532414566929502,0.608631298559446,0.8863092310228738
mono_min,0.45348568837304326,5.4487110374812815,0.08377777611162587,0.8153419682118452,0.4524596344061242
sbp_max,0.40759009361486503,6.201846310676598e-5,0.7554971198440109,4.214273078893315,0.8689604618340866
wbc_max,0.3967966392870891,0.2888094547298676,0.24086834576837507,0.004779525382252113,0.34231692045693934
anti_arrhythmia_agents,0.3964250432833714,0.02638071997702931,0.539769032014159,0.8310535585216348,0.5022933767214762
lymph_mean,0.38071384572877653,4.51887102602488,0.05389265364187097,0.11809810727301268,0.9370240350089919
antiemetics,0.37275698652326783,0.07485439399361933,0.1288952602334866,1.865915110168733,0.17580120986275352
plt_max,0.33171474618963437,4.870159230598147,0.6243180569221115,0.028010273432110964,0.36399591852267277
baso_max,0.32740851199128673,3.128577268785299,0.5206113851744764,0.7985353065671968,0.1312475200915788
bronchodilator_agents,0.30350335379190463,6.497475268617869e-4,0.20157397559910284,1.2280783373468767,0.2317336635627129
baso_min,0.30306603918436026,3.6354824702204365,0.9095626658658639,0.06938550938482277,0.026388921456236225
antifungal_agents,0.2934306028161908,0.009801380925100502,0.02006437818064495,0.15228464115498389,0.02129617943447926
temp_mean,0.25543838441201794,0.7713453380168281,0.7355169257276546,0.6633598827031517,4.119746479590968
eos_min,0.2358398542306526,4.611565211065346,1.4495723270430287,0.2524394078491506,0.18500447443132956
dbp_mean,0.19998448545150896,0.061005791535875355,0.27143050562964965,5.280040185482076,8.197110211869671e-4
anti_inflammatory_agents_non_steroidal,0.15818014028361163,0.1831375910836929,0.20139002993577027,1.915509906743638,0.08124837078621709
sodium_min,0.14916440122433378,0.17013600132231652,0.5405461671655309,0.11978383613871382,7.128231108573196
lymph_max,0.14845499186853825,4.562005033024409,0.06565552813348674,0.03392729565505031,1.0399405572596143
antifibrinolytic_agents,0.1406170423197605,0.024218992701104763,0.0017278956587052075,0.023886526309812302,0.00500175284457015
eos_mean,0.13846659640350628,5.358764491832502,1.7201374103388498,0.5764845219158962,0.1335894372969978
antimetabolites,0.1292371399267726,0.0018910890431911103,0.11952043174500383,0.3500089703713988,0.001605292566309783
sodium_mean,0.10643219500812136,0.12313868203886244,0.7829571553620265,0.013906456825249568,7.669316277042028
sbp_min,0.10178625622948073,0.24242312388030188,0.08771438565043203,3.7658859374488416,0.9074325651417091
plt_mean,0.09537818470006644,5.039508978557034,0.5561296010357845,0.08397148811092864,0.5450282760715104
baso_mean,0.08982980402278246,4.322155025871292,0.6932234163838747,0.6436170789428856,0.1775252251252821
antihypertensive_agents,0.08047061633490177,0.0020839278440646907,1.7530525076067196,2.6985435230858608,0.4614477485500202
potassium_min,0.07732314035637342,0.2455219475465878,3.945656214490362,0.899559696185175,0.6542323819100602
adrenergic_alpha_1_receptor_antagonists,0.07135324454242935,0.07837375029962965,0.6797638928840025,1.1910654751230028,0.015362592536488926
eos_max,0.06498978427156181,5.166923342301221,1.7441457217706617,0.8394823625277499,0.06697182374621835
female,0.06347145124644182,0.4574035140427105,0.0336731121113661,2.3788207327874753,5.959487041702172
male,0.06347145124644181,0.4574035140427105,0.033673112111366095,2.3788207327874757,5.959487041702172
