Variables,Dim.1,Dim.2,Dim.3,Dim.4,Dim.5
patient_age,1.54189835196934,0.2894070290586306,8.843425687817156,13.898473164708628,21.763240244941013
hemoglobin_min,2.891456166824695,0.013074390001144336,9.230277182230285,6.384122253484796,0.2907776374136499
plt_max,4.159656906377522,12.01774739762264,0.025267808433532116,4.124976204413801,1.155072037619532
wbc_mean,11.034385368275352,4.585596504746256,2.3004904907943993,2.703554304312306,0.20962021824183602
neutrophil_mean,21.630190071754203,4.144850524257207,1.2510429525114626,3.4841987560943135,0.015518826692273027
lymph_min,0.2955208396934742,12.53488564942037,0.15492437947526547,0.7222949610020621,0.1695791115851307
mono_max,2.1587845250334494,12.792526559980722,0.34703146682735025,0.7563808298433803,0.016529693862950237
baso_min,0.22727209069383145,15.443462228715655,0.03796593727401602,1.6705984947610928,2.1554495002116156
eos_min,0.19149910842450976,18.357212507479815,0.37651363890953427,2.6423875841067224,0.21948992732287106
sodium_mean,0.9373724537097672,0.06017261916354461,0.5047391434948186,0.16614966734676961,24.498904787269684
