"","Overall","1","2","p","test","Missing"
"n","       866","       222","       644","","","   "
"patient_site_uid (mean (SD))","3674669.94 (2387277.85)","3564355.46 (2409465.72)","3712697.60 (2380279.19)"," 0.425","","0.0"
"patient_age (mean (SD))","     68.81 (18.81)","     73.60 (14.01)","     67.16 (19.95)","<0.001","","0.0"
"hemoglobin_min (mean (SD))","    116.08 (19.89)","    112.17 (18.78)","    117.43 (20.10)"," 0.001","","0.0"
"plt_max (mean (SD))","    244.38 (107.23)","    260.00 (111.06)","    238.99 (105.43)"," 0.012","","0.0"
"wbc_mean (mean (SD))","      7.68 (8.25)","      8.30 (4.80)","      7.47 (9.13)"," 0.195","","0.0"
"neutrophil_mean (mean (SD))","      5.47 (3.45)","      6.44 (4.05)","      5.13 (3.15)","<0.001","","0.0"
"lymph_min (mean (SD))","      0.99 (0.96)","      0.97 (1.50)","      1.00 (0.68)"," 0.671","","0.0"
"mono_max (mean (SD))","      0.71 (0.50)","      0.72 (0.45)","      0.70 (0.52)"," 0.614","","0.0"
"baso_min (mean (SD))","      0.01 (0.01)","      0.01 (0.02)","      0.01 (0.01)"," 0.078","","0.0"
"eos_min (mean (SD))","      0.04 (0.10)","      0.03 (0.13)","      0.04 (0.09)"," 0.104","","0.0"
"sodium_mean (mean (SD))","    139.24 (4.42)","    139.37 (4.64)","    139.19 (4.34)"," 0.598","","0.0"
"potassium_mean (mean (SD))","      3.95 (0.43)","      4.08 (0.44)","      3.91 (0.42)","<0.001","","0.0"
"creatinine_mean (mean (SD))","    108.86 (127.72)","    130.87 (150.38)","    101.27 (118.10)"," 0.003","","0.0"
"fio2_mean (mean (SD))","     34.44 (20.87)","     43.14 (25.22)","     31.44 (18.22)","<0.001","","0.0"
"so2_min (mean (SD))","     89.96 (7.74)","     86.70 (9.30)","     91.08 (6.78)","<0.001","","0.0"
"temp_mean (mean (SD))","     36.86 (0.57)","     36.84 (0.49)","     36.87 (0.60)"," 0.460","","0.0"
"sbp_mean (mean (SD))","    129.45 (16.87)","    134.01 (17.25)","    127.88 (16.46)","<0.001","","0.0"
"dbp_mean (mean (SD))","     71.91 (8.91)","     71.71 (8.49)","     71.99 (9.06)"," 0.688","","0.0"
"rr_mean (mean (SD))","     20.51 (2.69)","     21.38 (3.08)","     20.21 (2.47)","<0.001","","0.0"
"anti_bacterial_agents = 1 (%)","       535 (61.8) ","       167 (75.2) ","       368 (57.1) ","<0.001","","0.0"
"neuromuscular_blocking_agents = 1 (%)","        30 ( 3.5) ","        10 ( 4.5) ","        20 ( 3.1) "," 0.441","","0.0"
"anticoagulants = 1 (%)","       682 (78.8) ","       188 (84.7) ","       494 (76.7) "," 0.016","","0.0"
"anticholesteremic_agents = 1 (%)","       266 (30.7) ","       149 (67.1) ","       117 (18.2) ","<0.001","","0.0"
"male = 1 (%)","       455 (52.5) ","        81 (36.5) ","       374 (58.1) ","<0.001","","0.0"
"bronchodilator_agents = 1 (%)","       256 (29.6) ","       124 (55.9) ","       132 (20.5) ","<0.001","","0.0"
"antihypertensive_agents = 1 (%)","       370 (42.7) ","       173 (77.9) ","       197 (30.6) ","<0.001","","0.0"
"antipsychotic_agents = 1 (%)","       236 (27.3) ","        48 (21.6) ","       188 (29.2) "," 0.036","","0.0"
"analgesics_opioid = 1 (%)","       356 (41.1) ","       147 (66.2) ","       209 (32.5) ","<0.001","","0.0"
"diuretics = 1 (%)","       203 (23.4) ","       102 (45.9) ","       101 (15.7) ","<0.001","","0.0"
"glucocorticoids = 1 (%)","       253 (29.2) ","       139 (62.6) ","       114 (17.7) ","<0.001","","0.0"
"hypoglycemic_agents = 1 (%)","       257 (29.7) ","       150 (67.6) ","       107 (16.6) ","<0.001","","0.0"
"platelet_aggregation_inhibitors = 1 (%)","       222 (25.6) ","        86 (38.7) ","       136 (21.1) ","<0.001","","0.0"
"sedation = 1 (%)","        63 ( 7.3) ","        29 (13.1) ","        34 ( 5.3) ","<0.001","","0.0"
"vasopressors = 1 (%)","       119 (13.7) ","        48 (21.6) ","        71 (11.0) ","<0.001","","0.0"
"mv = 1 (%)","        66 ( 7.6) ","        37 (16.7) ","        29 ( 4.5) ","<0.001","","0.0"
"levelofcare = 1 (%)","       785 (90.6) ","       215 (96.8) ","       570 (88.5) ","<0.001","","0.0"
"wave = 1 (%)","       444 (51.3) ","       145 (65.3) ","       299 (46.4) ","<0.001","","0.0"
"icu = 1 (%)","       150 (17.3) ","        57 (25.7) ","        93 (14.4) ","<0.001","","0.0"
"death = 1 (%)","       115 (13.3) ","        30 (13.5) ","        85 (13.2) "," 0.996","","0.0"
"cluster (mean (SD))","      1.74 (0.44)","      1.00 (0.00)","      2.00 (0.00)","<0.001","","0.0"
